BFS,Gemeinde,Wappen,Anbieter 1,Anbieter 2,total,netznutzung,energie,abgaben_gemeinwesen,foerderabgabgen,total2,netznutzung2,energie2,abgaben_gemeinwesen2,foerderabgabgen2,angezeigter_wert
4001,Aarau,http://i.imgur.com/JWqWyRS.png,Eniwa AG,,20.68,8.937238,8.585791,0.85,2.3,,,,,,20.68
4002,Biberstein,http://i.imgur.com/Kt8HIfM.png,Eniwa AG,,20.68,8.937238,8.585791,0.85,2.3,,,,,,20.68
4003,Buchs,http://i.imgur.com/qmCDQpo.png,Eniwa AG,,20.68,8.937238,8.585791,0.85,2.3,,,,,,20.68
4004,Densbüren,http://i.imgur.com/0PxOfpX.png,Eniwa AG,,20.68,8.937238,8.585791,0.85,2.3,,,,,,20.68
4005,Erlinsbach,http://i.imgur.com/Ih3L9IJ.png,Eniwa AG,,20.68,8.937238,8.585791,0.85,2.3,,,,,,20.68
4006,Gränichen,http://i.imgur.com/CIdzMjH.png,TB Gränichen Energie AG,,20.07,9.710165,7.430099,0.63,2.3,,,,,,20.07
4007,Hirschthal,http://i.imgur.com/EukYYJT.png,Eniwa AG,,20.68,8.937238,8.585791,0.85,2.3,,,,,,20.68
4008,Küttigen,http://i.imgur.com/p524AOA.png,Eniwa AG,,20.68,8.937238,8.585791,0.85,2.3,,,,,,20.68
4009,Muhen,http://i.imgur.com/bL0cP46.png,Gemeindeverwaltung Muhen,,17.71,7.134376,7.4771547,0.8,2.3,,,,,,17.71
4010,Oberentfelden,http://i.imgur.com/eNr44Vb.png,Technische Betriebe Oberentfelden,,16.06,5.7172046,7.091431,0.95,2.3,,,,,,16.06
4012,Suhr,http://i.imgur.com/lcfdzfA.png,Technische Betriebe Suhr,,18.85,8.120119,7.680107,0.75,2.3,,,,,,18.85
4013,Unterentfelden,http://i.imgur.com/YH3LS4D.png,Eniwa AG,,20.68,8.937238,8.585791,0.85,2.3,,,,,,20.68
4021,Baden,http://i.imgur.com/in3AmXY.png,Regionalwerke AG Baden,,18.34,8.84,6.7,0.5,2.3,,,,,,18.34
4022,Bellikon,http://i.imgur.com/EVrqPHP.png,Elektra-Genossenschaft Bellikon-Hausen,,18.23,8.312143,7.2133093,0.41,2.3,,,,,,18.23
4023,Bergdietikon,http://i.imgur.com/zqGmpsA.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4024,Birmenstorf,http://i.imgur.com/z7XUl5Q.png,Technische Betriebe Birmenstorf,,16.2,6.7153335,6.6776667,0.5,2.3,,,,,,16.2
4026,Ennetbaden,http://i.imgur.com/wJOjCmh.png,Regionalwerke AG Baden,,18.34,8.84,6.7,0.5,2.3,,,,,,18.34
4027,Fislisbach,http://i.imgur.com/Nlv59so.png,Genossenschaft Elektra Fislisbach,,17.23,7.3040476,7.629262,,2.3,,,,,,17.23
4028,Freienwil,http://i.imgur.com/nTfgkCY.png,Genossenschaft Elektra Ehrendingen,,19.36,8.410547,8.227667,0.42,2.3,,,,,,19.36
4029,Gebenstorf,http://i.imgur.com/RxpsOVw.png,EV Gebenstorf AG,,19.69,8.812143,7.8776665,0.7,2.3,,,,,,19.69
